,id,label
0,train_012751,7
1,train_006488,1
2,train_000532,8
3,train_031153,3
4,train_047232,7
5,train_003485,6
6,train_012814,3
7,train_012980,6
8,train_017522,5
9,train_047014,6
10,train_047152,8
11,train_011068,9
12,train_000855,4
13,train_008070,1
14,train_054074,3
15,train_027110,9
16,train_059636,8
17,train_008003,0
18,train_053063,5
19,train_041371,0
20,train_033682,9
21,train_013123,7
22,train_012277,9
23,train_040492,6
24,train_057809,7
25,train_016853,9
26,train_022322,3
27,train_052128,4
28,train_031358,9
29,train_047315,8
30,train_016928,0
31,train_058413,9
32,train_019304,1
33,train_025102,6
34,train_058920,9
35,train_053404,0
36,train_047728,8
37,train_007661,6
38,train_007876,1
39,train_016064,6
40,train_051204,7
41,train_037609,5
42,train_020312,7
43,train_004780,4
44,train_016365,8
45,train_050684,0
46,train_042142,2
47,train_050774,0
48,train_051609,9
49,train_035667,0
50,train_050620,7
51,train_047399,7
52,train_000123,7
53,train_021622,3
54,train_032268,0
55,train_022975,6
56,train_006045,0
57,train_013365,8
58,train_002499,2
59,train_059152,2
60,train_019506,5
61,train_056182,6
62,train_027161,6
63,train_039231,3
64,train_053441,7
65,train_017832,3
66,train_037980,0
67,train_045375,2
68,train_041734,9
69,train_006313,6
70,train_004051,2
71,train_044188,3
72,train_016409,9
73,train_033163,0
74,train_030648,6
75,train_009877,0
76,train_017183,7
77,train_006981,5
78,train_031339,6
79,train_008578,1
80,train_001951,6
81,train_035166,4
82,train_041991,4
83,train_058588,1
84,train_049391,7
85,train_021143,1
86,train_036646,0
87,train_022486,2
88,train_000771,5
89,train_011611,8
90,train_038609,2
91,train_030280,5
92,train_013072,9
93,train_031682,5
94,train_048996,9
95,train_047033,4
96,train_008711,4
97,train_034462,2
98,train_043291,4
99,train_003468,1
100,train_028233,8
101,train_055196,6
102,train_002391,7
103,train_047494,5
104,train_033201,8
105,train_011201,3
106,train_019075,3
107,train_040562,2
108,train_002562,9
109,train_007683,9
110,train_052869,2
111,train_055384,7
112,train_029529,7
113,train_045830,0
114,train_057478,2
115,train_052431,1
116,train_056138,1
117,train_007384,7
118,train_031060,8
119,train_010325,1
120,train_025372,9
121,train_055996,2
122,train_043821,7
123,train_038758,7
124,train_038213,7
125,train_036793,9
126,train_037932,9
127,train_044185,7
128,train_037635,1
129,train_043565,9
130,train_029799,7
131,train_054033,2
132,train_003068,1
133,train_045779,2
134,train_057476,9
135,train_008150,6
136,train_014240,9
137,train_010194,2
138,train_007257,2
139,train_005764,4
140,train_049782,2
141,train_057202,0
142,train_035393,2
143,train_031210,7
144,train_017501,9
145,train_040167,9
146,train_026081,3
147,train_012699,6
148,train_010653,5
149,train_046900,3
150,train_023571,7
151,train_038140,2
152,train_023286,4
153,train_015048,1
154,train_049264,2
155,train_016070,6
156,train_024126,1
157,train_022997,4
158,train_044143,2
159,train_006427,3
160,train_026811,7
161,train_044662,5
162,train_007584,3
163,train_028894,1
164,train_037477,6
165,train_045970,3
166,train_032119,6
167,train_043636,4
168,train_041344,6
169,train_019362,8
170,train_045048,4
171,train_021331,6
172,train_036215,1
173,train_036575,3
174,train_047339,5
175,train_042520,5
176,train_043081,0
177,train_047361,3
178,train_011140,6
179,train_039902,8
180,train_015365,5
181,train_035865,1
182,train_005053,0
183,train_043086,9
184,train_020844,3
185,train_028803,3
186,train_027573,3
187,train_057485,7
188,train_038781,7
189,train_010696,3
190,train_007296,4
191,train_038631,4
192,train_045500,2
193,train_003707,3
194,train_023944,9
195,train_004559,7
196,train_034242,5
197,train_030157,6
198,train_007341,6
199,train_045887,6
200,train_010045,0
201,train_000291,3
202,train_012671,1
203,train_010053,6
204,train_048488,0
205,train_034428,4
206,train_039051,1
207,train_055593,0
208,train_021245,9
209,train_006279,0
210,train_012299,2
211,train_044655,6
212,train_011253,6
213,train_000643,3
214,train_059332,7
215,train_022939,6
216,train_010481,6
217,train_040733,5
218,train_023763,5
219,train_019663,7
220,train_023520,2
221,train_057220,1
222,train_015042,0
223,train_057242,5
224,train_038686,0
225,train_047825,5
226,train_005399,3
227,train_030606,1
228,train_055511,4
229,train_059011,2
230,train_036389,9
231,train_002280,2
232,train_053663,8
233,train_019368,3
234,train_032521,2
235,train_053398,6
236,train_056141,8
237,train_039969,7
238,train_012960,8
239,train_000632,7
240,train_011867,1
241,train_035921,8
242,train_001778,3
243,train_031707,9
244,train_029507,6
245,train_050373,9
246,train_054754,2
247,train_000844,2
248,train_055527,3
249,train_004306,9
250,train_048090,6
251,train_031182,8
252,train_019700,4
253,train_043592,6
254,train_035732,9
255,train_003724,4
256,train_043670,3
257,train_058061,7
258,train_024200,7
259,train_041811,0
260,train_032044,3
261,train_011648,2
262,train_021367,7
263,train_041786,5
264,train_024615,0
265,train_009946,6
266,train_057167,5
267,train_026627,4
268,train_027692,9
269,train_059249,0
270,train_015206,5
271,train_043012,3
272,train_043947,4
273,train_050784,9
274,train_043819,4
275,train_030913,7
276,train_010197,8
277,train_012013,1
278,train_017849,7
279,train_013801,9
280,train_041313,7
281,train_050066,7
282,train_009535,7
283,train_026713,0
284,train_041277,5
285,train_048231,2
286,train_027240,6
287,train_046348,8
288,train_005170,8
289,train_012113,1
290,train_014643,7
291,train_053342,9
292,train_002115,7
293,train_032545,2
294,train_035638,2
295,train_015621,0
296,train_053986,7
297,train_058956,4
298,train_028071,7
299,train_059309,8
300,train_049507,7
301,train_050469,6
302,train_014049,5
303,train_044233,4
304,train_000272,4
305,train_039633,9
306,train_029682,6
307,train_023068,7
308,train_034491,9
309,train_036127,2
310,train_007703,4
311,train_046201,7
312,train_013005,0
313,train_045524,7
314,train_055093,3
315,train_011666,1
316,train_037486,2
317,train_040047,9
318,train_008843,2
319,train_044472,7
320,train_043817,3
321,train_014820,0
322,train_002486,6
323,train_041195,1
324,train_049498,2
325,train_015820,8
326,train_039749,7
327,train_043687,8
328,train_048841,2
329,train_012279,4
330,train_027350,6
331,train_054965,9
332,train_000318,2
333,train_041561,6
334,train_017011,6
335,train_055284,8
336,train_027193,5
337,train_035351,7
338,train_059111,9
339,train_000380,4
340,train_024581,6
341,train_002338,4
342,train_052849,1
343,train_044479,4
344,train_031384,1
345,train_001820,9
346,train_018059,3
347,train_026984,1
348,train_027072,8
349,train_023305,0
350,train_057412,1
351,train_012189,3
352,train_014551,2
353,train_017306,7
354,train_044848,3
355,train_029176,2
356,train_051641,6
357,train_012006,9
358,train_007693,1
359,train_032141,5
360,train_029779,4
361,train_039916,4
362,train_007088,2
363,train_045068,7
364,train_043649,2
365,train_057868,3
366,train_022241,8
367,train_009560,7
368,train_055799,7
369,train_042878,8
370,train_043630,2
371,train_009718,4
372,train_048385,3
373,train_012152,3
374,train_025936,5
375,train_058461,0
376,train_013600,7
377,train_020251,4
378,train_057424,3
379,train_025326,8
380,train_055738,6
381,train_057915,4
382,train_038026,7
383,train_023545,2
384,train_010979,6
385,train_021300,9
386,train_057984,8
387,train_003169,9
388,train_030485,2
389,train_011709,4
390,train_003400,3
391,train_001700,1
392,train_026044,0
393,train_030798,7
394,train_022986,6
395,train_047549,8
396,train_031728,4
397,train_015064,0
398,train_006721,6
399,train_030874,8
400,train_015246,3
401,train_023375,4
402,train_029284,1
403,train_007014,2
404,train_030882,6
405,train_016829,9
406,train_008991,7
407,train_056257,9
408,train_006053,7
409,train_013206,0
410,train_048409,6
411,train_051778,6
412,train_040647,9
413,train_057967,3
414,train_024060,2
415,train_012647,1
416,train_042255,3
417,train_030444,6
418,train_022954,0
419,train_018909,0
420,train_013277,2
421,train_000885,8
422,train_005057,7
423,train_004355,2
424,train_055624,0
425,train_033178,6
426,train_015183,6
427,train_059017,0
428,train_013127,3
429,train_006758,0
430,train_024321,2
431,train_013060,5
432,train_004262,3
433,train_024067,2
434,train_030961,5
435,train_042081,0
436,train_003000,9
437,train_012866,6
438,train_051918,3
439,train_008874,4
440,train_043535,1
441,train_051119,2
442,train_032824,1
443,train_026862,5
444,train_044937,4
445,train_059791,6
446,train_019239,9
447,train_021784,2
448,train_018429,7
449,train_025519,2
450,train_003239,4
451,train_007530,7
452,train_057143,6
453,train_055320,4
454,train_045303,0
455,train_029826,7
456,train_028045,8
457,train_000467,7
458,train_006206,1
459,train_033327,0
460,train_058172,2
461,train_052097,1
462,train_016206,4
463,train_046760,2
464,train_019830,1
465,train_052102,6
466,train_028183,9
467,train_047539,3
468,train_042300,4
469,train_024995,5
470,train_045166,5
471,train_050584,6
472,train_056231,6
473,train_030342,9
474,train_021985,0
475,train_020932,4
476,train_045989,1
477,train_029464,3
478,train_027729,8
479,train_018533,8
480,train_043308,5
481,train_036692,0
482,train_015213,7
483,train_020678,1
484,train_051645,8
485,train_059632,6
486,train_057286,7
487,train_041067,3
488,train_054278,7
489,train_036985,6
490,train_030092,8
491,train_003810,3
492,train_023019,6
493,train_029838,6
494,train_004125,4
495,train_001006,4
496,train_001964,8
497,train_035689,2
498,train_012387,0
499,train_051151,2
500,train_058885,7
501,train_038837,1
502,train_007659,5
503,train_029717,2
504,train_027181,2
505,train_008827,7
506,train_031073,7
507,train_041352,0
508,train_034018,3
509,train_047541,4
510,train_041227,9
511,train_029991,3
512,train_030484,0
513,train_011399,7
514,train_041421,2
515,train_027865,0
516,train_055664,0
517,train_039985,5
518,train_059326,2
519,train_030858,5
520,train_022106,1
521,train_017200,0
522,train_048200,0
523,train_028368,9
524,train_038303,1
525,train_010348,0
526,train_006072,8
527,train_057414,7
528,train_010801,0
529,train_056851,1
530,train_046960,4
531,train_042439,2
532,train_028580,3
533,train_050295,2
534,train_051786,2
535,train_015104,8
536,train_002768,8
537,train_005231,6
538,train_020241,9
539,train_007680,9
540,train_053993,6
541,train_034846,3
542,train_007212,6
543,train_045156,8
544,train_045979,3
545,train_010941,2
546,train_003472,3
547,train_050063,1
548,train_019859,0
549,train_017071,2
550,train_044626,7
551,train_000434,9
552,train_048405,4
553,train_029977,5
554,train_049806,7
555,train_005167,0
556,train_015917,2
557,train_000209,0
558,train_003526,8
559,train_023817,8
560,train_007896,1
561,train_056014,5
562,train_057386,7
563,train_016696,7
564,train_001826,9
565,train_057616,8
566,train_024165,6
567,train_051320,2
568,train_026607,5
569,train_010012,8
570,train_017779,0
571,train_045643,6
572,train_006009,4
573,train_019124,8
574,train_016852,7
575,train_058864,0
576,train_004122,9
577,train_015328,2
578,train_019252,4
579,train_044605,6
580,train_056117,1
581,train_005720,4
582,train_000925,8
583,train_032983,9
584,train_059722,4
585,train_042131,0
586,train_047229,1
587,train_048073,7
588,train_051656,8
589,train_041196,9
590,train_003623,6
591,train_043212,5
592,train_009848,3
593,train_058383,7
594,train_004789,4
595,train_053928,0
596,train_023912,5
597,train_037408,0
598,train_028877,1
599,train_054109,4
600,train_002122,1
601,train_014020,8
602,train_043952,3
603,train_032816,9
604,train_013569,1
605,train_054715,0
606,train_020910,2
607,train_044379,4
608,train_033788,7
609,train_005733,2
610,train_012306,4
611,train_003846,7
612,train_058899,7
613,train_011622,1
614,train_018175,9
615,train_005929,0
616,train_007644,7
617,train_059847,0
618,train_027441,5
619,train_000312,8
620,train_018728,9
621,train_026397,8
622,train_014683,4
623,train_014457,8
624,train_045266,3
625,train_052101,3
626,train_035560,7
627,train_042589,5
628,train_037392,4
629,train_059561,7
630,train_048855,8
631,train_052883,9
632,train_012489,6
633,train_017438,1
634,train_046168,9
635,train_030111,8
636,train_018796,3
637,train_042877,0
638,train_027461,1
639,train_000974,9
640,train_029082,8
641,train_002358,8
642,train_042452,6
643,train_000971,7
644,train_001383,9
645,train_046868,0
646,train_014296,4
647,train_027131,2
648,train_036021,3
649,train_005245,1
650,train_051474,3
651,train_034920,9
652,train_053106,6
653,train_028954,2
654,train_027127,5
655,train_034216,4
656,train_037261,0
657,train_017587,1
658,train_046865,1
659,train_044734,7
660,train_007428,2
661,train_005604,0
662,train_036376,0
663,train_011005,4
664,train_013539,4
665,train_036955,1
666,train_036897,4
667,train_045847,4
668,train_001159,6
669,train_058907,7
670,train_038360,5
671,train_028934,6
672,train_055332,4
673,train_027125,4
674,train_049721,7
675,train_056808,4
676,train_049791,3
677,train_014681,9
678,train_000303,0
679,train_042204,7
680,train_045442,0
681,train_028431,3
682,train_051984,7
683,train_022716,6
684,train_059205,9
685,train_014827,9
686,train_021110,8
687,train_008492,9
688,train_054899,4
689,train_054465,5
690,train_006866,7
691,train_021115,5
692,train_044206,8
693,train_026298,0
694,train_003024,0
695,train_044577,7
696,train_040854,9
697,train_004042,7
698,train_024548,7
699,train_000308,2
700,train_055582,0
701,train_023684,7
702,train_010807,3
703,train_032772,4
704,train_008448,9
705,train_012726,4
706,train_012563,9
707,train_039460,5
708,train_008964,4
709,train_024140,7
710,train_023125,6
711,train_059070,3
712,train_001417,7
713,train_059776,9
714,train_027294,8
715,train_038808,0
716,train_054451,9
717,train_051768,3
718,train_016483,1
719,train_047342,2
720,train_007936,9
721,train_029135,4
722,train_031330,7
723,train_041922,0
724,train_026709,7
725,train_011895,1
726,train_056980,1
727,train_007959,7
728,train_050786,5
729,train_004374,0
730,train_055501,0
731,train_039864,8
732,train_046930,1
733,train_005650,7
734,train_010922,1
735,train_050500,3
736,train_047293,4
737,train_001475,8
738,train_046831,9
739,train_050759,5
740,train_050470,3
741,train_014069,5
742,train_011384,2
743,train_050005,4
744,train_010054,8
745,train_036953,0
746,train_032230,6
747,train_020837,5
748,train_042713,1
749,train_033982,2
750,train_053839,7
751,train_054608,0
752,train_058845,5
753,train_041257,6
754,train_010100,2
755,train_025775,7
756,train_023559,1
757,train_034128,5
758,train_052552,1
759,train_054447,4
760,train_028771,0
761,train_027398,4
762,train_016988,1
763,train_022079,8
764,train_057456,6
765,train_036767,7
766,train_037358,5
767,train_048759,7
768,train_002906,1
769,train_000685,8
770,train_058981,7
771,train_013416,7
772,train_033671,4
773,train_009120,6
774,train_029691,8
775,train_050965,8
776,train_012665,0
777,train_049711,6
778,train_013220,6
779,train_041816,1
780,train_019394,1
781,train_048667,3
782,train_021923,1
783,train_023835,1
784,train_027763,3
785,train_018158,2
786,train_032224,1
787,train_052636,3
788,train_034691,8
789,train_024970,1
790,train_024926,8
791,train_021217,7
792,train_022524,2
793,train_011352,1
794,train_035578,6
795,train_052444,1
796,train_029298,7
797,train_050881,5
798,train_017874,6
799,train_037278,8
800,train_019512,9
801,train_054323,9
802,train_042244,5
803,train_059253,2
804,train_028537,2
805,train_044083,9
806,train_032473,8
807,train_012236,1
808,train_059671,1
809,train_042262,0
810,train_007193,5
811,train_029313,3
812,train_031615,5
813,train_057979,1
814,train_022346,7
815,train_014391,7
816,train_040912,4
817,train_022864,2
818,train_009557,8
819,train_017352,3
820,train_058059,9
821,train_023864,9
822,train_059490,3
823,train_043714,1
824,train_021346,5
825,train_027988,3
826,train_011873,5
827,train_056160,7
828,train_049365,7
829,train_041626,4
830,train_016528,7
831,train_045454,8
832,train_048858,6
833,train_018866,4
834,train_037076,4
835,train_008629,7
836,train_008082,2
837,train_040064,8
838,train_053992,5
839,train_038727,9
840,train_058301,6
841,train_023775,1
842,train_022913,8
843,train_056180,8
844,train_058881,3
845,train_018449,7
846,train_035073,3
847,train_036563,7
848,train_021156,3
849,train_034113,2
850,train_005410,4
851,train_012271,6
852,train_009728,9
853,train_046368,8
854,train_044382,6
855,train_021837,4
856,train_008283,7
857,train_023747,3
858,train_055383,3
859,train_044463,6
860,train_041184,7
861,train_031352,5
862,train_018206,2
863,train_032160,0
864,train_018311,8
865,train_036880,9
866,train_057928,2
867,train_025582,8
868,train_029151,0
869,train_057792,7
870,train_029361,5
871,train_058958,6
872,train_007581,6
873,train_029149,6
874,train_013928,2
875,train_030294,7
876,train_003548,4
877,train_009150,9
878,train_023663,3
879,train_022003,3
880,train_018581,0
881,train_001537,4
882,train_051457,6
883,train_042602,1
884,train_048435,3
885,train_043241,2
886,train_003580,5
887,train_010111,5
888,train_042842,2
889,train_043483,7
890,train_047452,0
891,train_030948,0
892,train_043797,4
893,train_039457,0
894,train_028605,6
895,train_038794,7
896,train_014698,1
897,train_009653,1
898,train_030398,3
899,train_040955,4
900,train_043667,9
901,train_050968,0
902,train_056821,2
903,train_016947,4
904,train_041254,9
905,train_059416,3
906,train_027282,3
907,train_030357,7
908,train_021250,3
909,train_018680,9
910,train_022360,6
911,train_040949,2
912,train_027330,1
913,train_036797,0
914,train_016060,2
915,train_005033,4
916,train_029703,4
917,train_010296,7
918,train_004429,3
919,train_034809,4
920,train_056746,6
921,train_034540,8
922,train_056692,6
923,train_051870,2
924,train_026448,3
925,train_023819,3
926,train_038197,2
927,train_026187,3
928,train_005739,6
929,train_049789,3
930,train_014560,1
931,train_016026,8
932,train_058026,2
933,train_044991,5
934,train_023399,1
935,train_000277,2
936,train_052100,6
937,train_012101,6
938,train_034219,3
939,train_039656,0
940,train_026546,4
941,train_031289,6
942,train_009089,3
943,train_054502,0
944,train_035965,7
945,train_028662,8
946,train_017972,9
947,train_022653,8
948,train_009438,6
949,train_011933,0
950,train_049329,3
951,train_055948,4
952,train_057078,7
953,train_037002,9
954,train_006310,9
955,train_040074,0
956,train_033533,8
957,train_014047,4
958,train_047355,9
959,train_049131,1
960,train_044469,9
961,train_052475,7
962,train_032868,6
963,train_052768,6
964,train_023402,7
